,annual,state,year
654,1.95,Indiana,1982
655,-0.1925,Indiana,1983
656,0.396666667,Indiana,1984
657,0.3075,Indiana,1985
658,0.401666667,Indiana,1986
659,-1.466666667,Indiana,1987
660,-1.5975,Indiana,1988
661,1.714166667,Indiana,1989
662,3.310833333,Indiana,1990
663,-1.4125,Indiana,1991
664,0.215833333,Indiana,1992
665,3.09,Indiana,1993
666,-0.779166667,Indiana,1994
667,-0.736666667,Indiana,1995
668,1.555833333,Indiana,1996
669,1.819166667,Indiana,1997
670,0.34,Indiana,1998
671,-1.36,Indiana,1999
672,-0.2,Indiana,2000
673,0.839166667,Indiana,2001
674,0.6225,Indiana,2002
675,1.220833333,Indiana,2003
676,2.628333333,Indiana,2004
677,-0.475,Indiana,2005
678,1.7525,Indiana,2006
679,-0.1725,Indiana,2007
680,2.614166667,Indiana,2008
681,2.053333333,Indiana,2009
682,-0.734166667,Indiana,2010
683,2.173333333,Indiana,2011
684,-0.674166667,Indiana,2012
685,0.59,Indiana,2013
686,1.816666667,Indiana,2014
687,2.676666667,Indiana,2015
688,2.334166667,Indiana,2016
689,2.175833333,Indiana,2017
690,2.913333333,Indiana,2018
691,4.163333333,Indiana,2019
692,1.223333333,Indiana,2020
693,0.880833333,Indiana,2021
694,0.3,Indiana,2022
695,-17.09833333,Indiana,2023
696,0.4575,Iowa,1966
697,-1.228333333,Iowa,1967
698,0.395,Iowa,1968
699,2.116666667,Iowa,1969
700,0.229166667,Iowa,1970
701,-0.150833333,Iowa,1971
702,1.639166667,Iowa,1972
703,4.333333333,Iowa,1973
704,2.985833333,Iowa,1974
705,-0.096666667,Iowa,1975
706,-1.4925,Iowa,1976
707,-2.049166667,Iowa,1977
708,2.266666667,Iowa,1978
709,2.776666667,Iowa,1979
710,-0.185833333,Iowa,1980
711,0.416666667,Iowa,1981
712,3.130833333,Iowa,1982
713,3.726666667,Iowa,1983
714,2.916666667,Iowa,1984
715,0.635,Iowa,1985
716,2.109166667,Iowa,1986
717,0.295833333,Iowa,1987
718,-2.826666667,Iowa,1988
719,-4.7425,Iowa,1989
720,1.061666667,Iowa,1990
721,1.88,Iowa,1991
722,1.8775,Iowa,1992
723,6.081666667,Iowa,1993
724,3.145833333,Iowa,1994
725,0.389166667,Iowa,1995
726,0.68,Iowa,1996
727,0.4,Iowa,1997
728,1.795,Iowa,1998
729,0.920833333,Iowa,1999
730,-1.063333333,Iowa,2000
731,0.206666667,Iowa,2001
732,-0.2575,Iowa,2002
733,-0.4275,Iowa,2003
734,1.083333333,Iowa,2004
735,-0.358333333,Iowa,2005
736,-0.699166667,Iowa,2006
737,2.4,Iowa,2007
738,4.786666667,Iowa,2008
739,4.424166667,Iowa,2009
740,5.265833333,Iowa,2010
741,1.518333333,Iowa,2011
742,-2.905833333,Iowa,2012
743,-1.205833333,Iowa,2013
744,1.181666667,Iowa,2014
745,3.155833333,Iowa,2015
746,4.159166667,Iowa,2016
747,2.516666667,Iowa,2017
748,2.521666667,Iowa,2018
749,5.125833333,Iowa,2019
750,0.525,Iowa,2020
751,-0.891666667,Iowa,2021
752,-0.783333333,Iowa,2022
753,-17.66333333,Iowa,2023
754,-1.054166667,Kansas,1966
755,-0.694166667,Kansas,1967
756,0.106666667,Kansas,1968
757,2.061666667,Kansas,1969
758,-0.056666667,Kansas,1970
759,0.091666667,Kansas,1971
760,0.354166667,Kansas,1972
761,4.571666667,Kansas,1973
762,3.3275,Kansas,1974
763,0.863333333,Kansas,1975
764,-0.7,Kansas,1976
765,-0.2325,Kansas,1977
766,-0.440833333,Kansas,1978
767,1.315833333,Kansas,1979
768,-0.8125,Kansas,1980
769,-0.628333333,Kansas,1981
770,1.611666667,Kansas,1982
771,0.984166667,Kansas,1983
772,0.363333333,Kansas,1984
773,2.79,Kansas,1985
774,3.158333333,Kansas,1986
775,3.101666667,Kansas,1987
776,-1.029166667,Kansas,1988
777,-1.2675,Kansas,1989
778,-5.55E-17,Kansas,1990
779,-2.1375,Kansas,1991
780,1.604166667,Kansas,1992
781,6.265,Kansas,1993
782,3.468333333,Kansas,1994
783,1.521666667,Kansas,1995
784,0.258333333,Kansas,1996
785,2.630833333,Kansas,1997
786,3.050833333,Kansas,1998
787,2.8025,Kansas,1999
788,-0.296666667,Kansas,2000
789,0.615833333,Kansas,2001
790,-2.449166667,Kansas,2002
791,-1.545833333,Kansas,2003
792,0.24,Kansas,2004
793,1.2825,Kansas,2005
794,-1.8725,Kansas,2006
795,1.869166667,Kansas,2007
796,2.964166667,Kansas,2008
797,3.981666667,Kansas,2009
798,2.785833333,Kansas,2010
799,-1.8375,Kansas,2011
800,-2.761666667,Kansas,2012
801,-2.238333333,Kansas,2013
802,-0.425,Kansas,2014
803,0.9675,Kansas,2015
804,2.190833333,Kansas,2016
805,0.590833333,Kansas,2017
806,-0.688333333,Kansas,2018
807,4.434166667,Kansas,2019
808,1.769166667,Kansas,2020
809,-0.268333333,Kansas,2021
810,-2.844166667,Kansas,2022
811,-19.4125,Kansas,2023
812,-0.128333333,Kentucky,1966
813,0.929166667,Kentucky,1967
814,0.2425,Kentucky,1968
815,-0.588333333,Kentucky,1969
816,0.136666667,Kentucky,1970
817,0.329166667,Kentucky,1971
818,1.551666667,Kentucky,1972
819,2.29,Kentucky,1973
820,2.546666667,Kentucky,1974
821,3.468333333,Kentucky,1975
822,1.533333333,Kentucky,1976
823,0.16,Kentucky,1977
824,1.495833333,Kentucky,1978
825,4.495,Kentucky,1979
826,-1.248333333,Kentucky,1980
827,-0.185,Kentucky,1981
828,0.568333333,Kentucky,1982
829,-0.113333333,Kentucky,1983
830,0.418333333,Kentucky,1984
831,0.138333333,Kentucky,1985
832,-1.956666667,Kentucky,1986
833,-2.276666667,Kentucky,1987
834,-1.741666667,Kentucky,1988
835,3.270833333,Kentucky,1989
836,2.051666667,Kentucky,1990
837,-0.366666667,Kentucky,1991
838,-2.31E-17,Kentucky,1992
839,0.015,Kentucky,1993
840,0.275833333,Kentucky,1994
841,-0.194166667,Kentucky,1995
842,1.9175,Kentucky,1996
843,1.264166667,Kentucky,1997
844,-0.458333333,Kentucky,1998
845,-2.7675,Kentucky,1999
846,-2.570833333,Kentucky,2000
847,-0.395833333,Kentucky,2001
848,0.995,Kentucky,2002
849,2.8175,Kentucky,2003
850,3.069166667,Kentucky,2004
